ts,angle_0,angle_1
0.76,180.0,180.0
0.762,180.0,180.0
0.764,180.0,180.0
0.766,180.0,180.0
0.768,180.0,180.0
0.77,180.0,180.0
0.772,180.0,180.0
0.774,180.0,180.0
0.776,180.0,180.0
0.778,180.0,180.0
0.78,180.0,180.0
0.782,180.0,180.0
0.784,180.0,180.0
0.786,180.0,180.0
0.788,180.0,180.0
0.79,180.0,180.0
0.792,180.0,180.0
0.794,180.0,180.0
0.796,180.0,180.0
0.798,180.0,180.0
0.8,180.0,180.0
0.802,180.0,180.0
0.804,180.0,180.0
0.806,180.0,180.0
0.808,180.0,180.0
0.81,180.0,180.0
0.812,180.0,180.0
0.814,180.0,180.0
0.816,180.0,180.0
0.818,180.0,180.0
0.82,180.0,180.0
0.822,180.0,180.0
0.824,180.0,180.0
0.826,180.0,180.0
0.828,180.0,180.0
0.83,180.0,180.0
0.832,180.0,180.0
0.8339999999999999,180.0,180.0
0.8359999999999999,180.0,180.0
0.8379999999999999,180.0,180.0
0.8399999999999999,180.0,180.0
0.8419999999999999,180.0,180.0
0.8439999999999999,180.0,180.0
0.8459999999999999,180.0,180.0
0.8479999999999999,180.0,180.0
0.8499999999999999,180.0,180.0
0.8519999999999999,180.0,180.0
0.854,180.0,180.0
0.856,180.0,180.0
0.858,180.0,180.0
0.86,180.0,180.0
0.862,180.0,180.0
0.864,180.0,180.0
0.866,180.0,180.0
0.868,180.0,180.0
0.87,180.0,180.0
0.872,180.0,180.0
0.874,180.0,180.0
0.876,180.0,180.0
0.878,180.0,180.0
0.88,180.0,180.0
0.882,180.0,180.0
0.884,180.0,180.0
0.886,180.0,180.0
0.888,180.0,180.0
0.89,180.0,180.0
0.892,180.0,180.0
0.894,180.0,180.0
0.896,180.0,180.0
0.898,180.0,180.0
0.9,180.0,180.0
0.902,180.0,180.0
0.904,180.0,180.0
0.906,180.0,180.0
0.908,180.0,180.0
0.91,180.0,180.0
0.912,180.0,180.0
0.914,180.0,180.0
0.916,180.0,180.0
0.918,180.0,180.0
0.92,180.0,180.0
0.922,180.0,180.0
0.924,180.0,180.0
0.926,180.0,180.0
0.928,180.0,180.0
0.93,180.0,180.0
0.932,180.0,180.0
0.934,180.0,180.0
0.936,180.0,180.0
0.938,180.0,180.0
0.94,180.0,180.0
0.942,180.0,180.0
0.944,180.0,180.0
0.946,180.0,180.0
0.948,180.0,180.0
0.95,180.0,180.0
0.952,180.0,180.0
0.954,180.0,180.0
0.956,180.0,180.0
0.958,180.0,180.0
0.96,180.0,180.0
0.962,180.0,180.0
0.964,180.0,180.0
0.966,180.0,180.0
0.968,180.0,180.0
0.97,180.0,180.0
0.972,180.0,180.0
0.974,180.0,180.0
0.976,180.0,180.0
0.978,180.0,180.0
0.98,180.0,180.0
0.982,180.0,180.0
0.984,180.0,180.0
0.986,180.0,180.0
0.988,180.0,180.0
0.9900000000000002,180.0,180.0
0.9920000000000002,180.0,180.0
0.994,180.0,180.0
0.996,180.0,180.0
0.998,180.0,180.0
1.0,180.0,180.0
1.002,180.0,180.0
1.004,180.0,180.0
1.006,180.0,180.0
1.008,180.0,180.0
1.01,180.0,180.0
1.012,180.0,180.0
1.014,180.0,180.0
1.016,180.0,180.0
1.018,180.0,180.0
1.02,180.0,180.0
1.022,180.0,180.0
1.024,180.0,180.0
1.026,180.0,180.0
1.028,180.0,180.0
1.03,180.0,180.0
1.032,180.0,180.0
1.034,180.0,180.0
1.036,180.0,180.0
1.038,180.0,180.0
1.04,180.0,180.0
1.042,180.0,180.0
1.044,180.0,180.0
1.046,180.0,180.0
1.048,180.0,180.0
1.05,180.0,180.0
1.052,180.0,180.0
1.054,180.0,180.0
1.056,180.0,180.0
1.058,180.0,180.0
1.06,180.0,180.0
1.062,180.0,180.0
1.064,180.0,180.0
1.066,180.0,180.0
1.068,180.0,180.0
1.07,180.0,180.0
1.072,180.0,180.0
1.074,180.0,180.0
1.076,180.0,180.0
1.078,180.0,180.0
1.08,180.0,180.0
1.082,180.0,180.0
1.084,180.0,180.0
1.086,180.0,180.0
1.088,180.0,180.0
1.09,180.0,180.0
1.092,180.0,180.0
1.094,180.0,180.0
1.096,180.0,180.0
1.098,180.0,180.0
1.1,180.0,180.0
1.102,180.0,180.0
1.104,180.0,180.0
1.106,180.0,180.0
1.108,180.0,180.0
1.11,180.0,180.0
1.112,180.0,180.0
1.114,180.0,180.0
1.116,180.0,180.0
1.118,180.0,180.0
1.12,180.0,180.0
1.122,180.0,180.0
1.124,180.0,180.0
1.126,180.0,180.0
1.128,180.0,180.0
1.13,180.0,180.0
1.132,180.0,180.0
1.134,180.0,180.0
1.136,180.0,180.0
1.138,180.0,180.0
1.14,180.0,180.0
1.142,180.0,180.0
1.144,180.0,180.0
1.146,180.0,180.0
1.148,180.0,180.0
1.15,180.0,180.0
1.152,180.0,180.0
1.154,180.0,180.0
1.156,180.0,180.0
1.158,180.0,180.0
1.16,180.0,180.0
1.162,180.0,180.0
1.164,180.0,180.0
1.166,180.0,180.0
1.168,180.0,180.0
1.17,180.0,180.0
1.172,180.0,180.0
1.174,180.0,180.0
1.176,180.0,180.0
1.178,180.0,180.0
1.18,180.0,180.0
1.182,180.0,180.0
1.184,180.0,180.0
1.186,180.0,180.0
1.188,180.0,180.0
1.19,180.0,180.0
1.192,180.0,180.0
1.194,180.0,180.0
1.196,180.0,180.0
1.198,180.0,180.0
1.2,180.0,180.0
1.202,180.0,180.0
1.204,180.0,180.0
1.206,180.0,180.0
1.208,180.0,180.0
1.21,180.0,180.0
1.212,180.0,180.0
1.214,180.0,180.0
1.216,180.0,180.0
1.218,180.0,180.0
1.22,180.0,180.0
1.222,180.0,180.0
1.224,180.0,180.0
1.226,180.0,180.0
