,time,X_value,Y_value,Z_value
229,10.4588,2.19316,-10.06314,-2.50441
230,10.4588,2.19316,-10.06314,-2.50441
231,10.4603,2.69356,-9.7854,-2.61694
232,10.462,3.17481,-9.53879,-2.71271
233,10.4649,3.42142,-9.42865,-2.75102
234,10.4661,3.9314,-9.15571,-2.83003
235,10.4688,4.45575,-9.00966,-2.83482
236,10.4699,4.67602,-8.78938,-2.76778
237,10.472,4.91545,-8.69361,-2.60737
238,10.477,5.13093,-8.54996,-2.50202
239,10.4779,5.13093,-8.54277,-2.48765
240,10.4783,5.08544,-8.56193,-2.47329
241,10.4805,4.99925,-8.60023,-2.45653
242,10.4821,4.77418,-8.65051,-2.37033
243,10.4846,4.73109,-8.62657,-2.26259
244,10.4861,4.73348,-8.52601,-2.25062
245,10.4882,4.69996,-8.41348,-2.21231
246,10.4914,4.63292,-8.38475,-2.18597
247,10.492,4.4749,-8.34165,-2.10936
248,10.498,4.26899,-8.03758,-1.82923
249,10.4988,4.26899,-8.03758,-1.82923
250,10.4999,4.23787,-7.92744,-1.77895
251,10.5007,4.15886,-7.74308,-1.63768
252,10.5021,4.09421,-7.65689,-1.57304
253,10.5053,3.84999,-7.50366,-1.36953
254,10.5067,3.71113,-7.45338,-1.22108
255,10.5082,3.46691,-7.32888,-0.92419
256,10.5107,3.21551,-7.16128,-0.63209
257,10.519,3.05749,-7.07508,-0.49801
258,10.519,2.1333,-6.77819,-0.16042
259,10.519,2.1333,-6.77819,-0.16042
260,10.519,1.90105,-6.71115,-0.11253
261,10.5207,1.44375,-6.59383,-0.08141
262,10.5232,1.19714,-6.55074,-0.10774
263,10.5245,0.65843,-6.40229,-0.17957
264,10.5263,0.10295,-6.19638,-0.26098
265,10.5282,-0.18915,-6.09582,-0.249
266,10.5301,-0.74941,-6.01442,-0.05267
267,10.5325,-1.23545,-6.08385,0.19154
268,10.5377,-1.9226,-6.27779,0.62491
269,10.5377,-2.18118,-6.37595,0.7518
270,10.5382,-2.42301,-6.47891,0.88349
271,10.5404,-2.57145,-6.61059,1.0056
272,10.5422,-2.54033,-6.75425,1.04869
273,10.5442,-2.32484,-6.66566,1.03193
274,10.5464,-1.86035,-6.45497,0.99123
275,10.5481,-1.24263,-6.25863,0.89785
276,10.5501,-0.89067,-6.13892,0.85236
277,10.5522,-0.18196,-5.83964,0.80208
278,10.5572,1.27136,-5.32726,0.8763
279,10.5574,1.27136,-5.15487,0.92419
280,10.5582,1.60895,-4.97051,0.99602
281,10.5603,1.97767,-4.74785,1.08221
282,10.5623,2.74384,-4.24265,1.26178
283,10.5644,3.45733,-3.76619,1.47727
284,10.5664,3.78774,-3.53395,1.5898
285,10.5682,4.29054,-3.12692,1.76219
286,10.5702,4.62813,-2.83961,1.85317
287,10.5723,4.75264,-2.72229,1.86275
