"user_id","experiment_group","UserType","is_verified","user_revenue","exposed_items"
1543587,"30_discount",Private,0,,1
1543633,"30_discount",Private,0,,6
1543995,"30_discount",Company,1,,2
1544933,"30_discount",Company,0,,1
1545471,"30_discount",Private,0,40.07692307692308,1
1545804,"30_discount",Company,0,48.15384615384615,1
1546546,"30_discount",Company,0,,1
1547514,"30_discount",Private,0,,1
1548299,"30_discount",Private,0,,1
1548579,"30_discount",Private,0,,1
1548753,"30_discount",Private,0,,1
1549221,"30_discount",Private,0,,1
1549227,no_discount,Company,0,38.92307692307692,1
1549615,"30_discount",Private,0,,5
1549788,"60_discount",Company,0,248.53846153846155,7
1550707,no_discount,Private,0,,1
1551091,"30_discount",Shop,1,1665.076923076924,39
1551785,no_discount,Company,0,42.38461538461539,1
1551962,"30_discount",Company,0,,1
1552337,no_discount,Private,1,54.769230769230774,2
1552840,"60_discount",Private,0,47.0,2
1555471,"30_discount",Company,0,114.76923076923077,2
1555493,no_discount,Company,0,,1
1555820,no_discount,Private,1,121.6923076923077,3
1556624,no_discount,Private,0,40.07692307692308,2
1557058,"30_discount",Company,0,,1
1557426,"30_discount",Private,0,28.53846153846154,1
1560068,no_discount,Company,0,28.53846153846154,4
1560313,"60_discount",Private,0,40.07692307692308,1
1562590,"60_discount",Private,0,,2
1563184,"60_discount",Private,1,93.46153846153847,4
1563932,no_discount,Private,1,37.769230769230774,1
1564704,"60_discount",Private,0,57.07692307692308,2
1565167,"30_discount",Private,0,90.23076923076923,3
1565263,"30_discount",Shop,0,40.0,1
1565603,"60_discount",Private,0,65.46153846153845,1
1565667,"60_discount",Private,0,32.0,1
1566694,"60_discount",Company,0,,1
1567049,no_discount,Private,0,,1
1567206,no_discount,Private,0,91.15384615384616,3
1568925,"30_discount",Company,0,96.0,4
1571882,"60_discount",Company,1,64.15384615384616,2
1572049,"60_discount",Private,0,36.61538461538461,1
1573353,"60_discount",Shop,0,57.07692307692308,3
1573647,"30_discount",Shop,0,39.96153846153846,1
1573886,no_discount,Shop,0,,1
1574943,"30_discount",Private,0,28.53846153846154,1
1576133,"30_discount",Private,0,42.38461538461539,1
1576492,"60_discount",Company,0,32.0,1
1577217,"60_discount",Company,1,,3
1577569,"60_discount",Shop,0,182.92307692307693,5
1577768,"60_discount",Private,0,39.92307692307692,1
1579216,no_discount,Private,0,28.384615384615387,2
1579357,no_discount,Private,0,,1
1580239,"60_discount",Company,0,,1
1581716,"30_discount",Company,0,,1
1581954,"60_discount",Private,0,44.69230769230769,1
1582996,no_discount,Company,0,,1
1583002,no_discount,Company,0,57.38461538461539,1
1583492,"30_discount",Company,0,32.0,1
1584983,no_discount,Private,0,,2
1585480,"30_discount",Shop,0,99.08923076923077,3
1585739,"30_discount",Company,0,,1
1586257,"30_discount",Company,1,91.53846153846155,2
1586418,"60_discount",Company,0,160.0,2
1586566,"60_discount",Company,0,,1
1588695,no_discount,Company,0,33.15384615384615,1
1588963,"30_discount",Private,1,,1
1589483,"60_discount",Private,1,40.07692307692308,3
1589524,"60_discount",Private,0,,1
1589830,no_discount,Private,0,,1
1590215,"30_discount",Company,0,,1
1592986,"30_discount",Company,0,28.53846153846154,1
1594609,no_discount,Private,0,27.384615384615387,1
1595176,no_discount,Company,0,32.0,1
1595950,"60_discount",Company,0,,1
1596280,no_discount,Private,0,,1
1596481,"30_discount",Company,0,,1
1599201,no_discount,Company,0,28.53846153846154,3
1599660,no_discount,Private,0,,1
1600292,no_discount,Private,1,150.84615384615384,4
1600306,"30_discount",Company,0,27.384615384615387,1
1602062,"60_discount",Private,1,28.53846153846154,1
1602784,"30_discount",Private,0,,1
1604447,"60_discount",Private,0,107.3076923076923,3
1605258,"30_discount",Private,0,36.61538461538461,1
